Primary CATEGORIES,CATEGORIES ID,Secondary CATEGORIES,CATEGORIES ID
Office & School Supplies,21,,
,21,"Tape, Adhesives & Fasteners",100003134
,21,Books,2202
,21,"Calendars, Bookmark & Cards",200001562
,21,Correction Supplies,100003125
,21,Cutting Supplies,100003131
,21,Desk Accessories & Organizer,211106
,21,File Folder Accessories,100003177
,21,Filing Products,211110
,21,Magazines,2213
,21,Map,2209
,21,Notebooks & Writing Pads,100003155
,21,Office Binding Supplies,100003129
,21,Painting Supplies,211111
,21,Paper,2112
,21,"Pens, Pencils & Writing Supplies",200001743
,21,Presentation Boards,212002
,21,School & Educational Supplies,100003135
,21,Stationery Sticker,200004276
,21,Drafting Supplies,2139
,21,Accounting Supplies,200652001
Phones & Telecommunications,509,,
,509,Communication Equipment,100001204
,509,Mobile Phone Accessories & Parts,100001205
,509,Mobile Phones,5090301
,509,Walkie Talkie Parts & Accessories,200380144
,509,Walkie Talkie,50906
Security & Protection,30,,
,30,Access Control,3030
,30,Building Automation,200327231
,30,Disaster-relief Supplies,200327211
,30,Emergency Kits,200001791
,30,Fire Protection,3009
,30,Intercom,200004310
,30,IoT Devices,200330186
,30,Public Broadcasting,200327212
,30,Roadway Safety,3015
,30,Safes,200327196
,30,Security Alarm,200004311
,30,Security Inspection Device,200328267
,30,Self Defense Supplies,200328217
,30,Smart Card System,200004309
,30,Transmission & Cables,200004343
,30,UAV System & Robot,200332185
,30,Video Surveillance,3011
,30,Workplace Safety Supplies,3007
Shoes,322,,
,322,Men's Shoes,200131145
,322,Mules & Clogs,200001000
,322,Other Shoes,32299
,322,Shoe Accessories,32210
,322,Women's Shoes,200133142
Special Category,200001075,,
,200001075,Additional Pay on Your Order,200001079
,200001075,Beginner for XinXiaoYuan,200004270
,200001075,Checkout Link,200001078
,200001075,Coupon,200003560
,200001075,Custom-made Charge,200165143
,200001075,Custom-made-Charge,200376142
,200001075,Down payment/ Purchasing Agent,200001627
,200001075,Giftcard,200024143
,200001075,Giveaways,200001621
,200001075,Mobile Phone Recharge,200003892
,200001075,Other,200001620
,200001075,Overseas Warehouse,200003864
,200001075,Test,200004358
,200001075,Upcoming Products,200001623
,200001075,Wallpaper Sample,200726001
Sports & Entertainment,18,,
,18,Camping & Hiking,100005529
,18,Cheerleading,100005880
,18,Cycling,200003500
,18,Entertainment,200003538
,18,Fishing,100005537
,18,Fitness & Body Building,100005371
,18,Golf,100005360
,18,Horse Riding,100005551
,18,Hunting,100005563
,18,Musical Instruments,100005481
,18,Other Sports & Entertainment Product,200004194
,18,Racquet Sports,200003540
,18,"Roller,Skateboard",200003541
,18,Shooting,100005571
,18,Skiing & Snowboarding,200003543
,18,Sneakers,200000950
,18,Sport Bags,200046142
,18,Sports Bags(hidden),200004217
,18,Sports Competitions,200297143
,18,Sportswear & Accessories,301
,18,Team Sports,200378143
,18,Water Sports,100005657
Tools,1420,,
,1420,Abrasive Tools,4204
,1420,Abrasives,1428
,1420,Construction Tools,142016
,1420,Drill Bit,100006468
,1420,Garden Tools,12503
,1420,Hand Tools,142003
,1420,Lifting Tools,100007498
,1420,Machine Tools & Accessories,100007188
,1420,Measurement & Analysis Instruments,1537
,1420,Other Tools,142099
,1420,Power Tool Accessories,100007488
,1420,Power Tools,1417
,1420,Riveter Guns,200183146
,1420,Saw Blade,100006471
,1420,Tool Parts,142001
,1420,Tool Sets,200003955
,1420,Tools Packaging,100007485
,1420,Welding & Soldering Supplies,1427
,1420,Welding Equipment,1440
,1420,Woodworking Machinery,1431
,1420,Woodworking Machinery Parts,4338
Toys & Hobbies,26,,
,26,Action & Toy Figures,2621
,26,"Arts & Crafts, DIY toys",200389156
,26,Baby & Toddler Toys,100001698
,26,Building & Construction Toys,200001383
,26,Classic Toys,100001715
,26,Diecasts & Toy Vehicles,100001793
,26,Dolls & Accessories,200001389
,26,Dolls & Stuffed Toys,200001725
,26,Electronic Toys,200001388
,26,High Tech Toys,200386159
,26,Hobby & Collectibles,200388154
,26,Kid's Party,200389146
,26,Learning & Education,100001714
,26,Model Building,200385142
,26,Novelty & Gag Toys,200001384
,26,Outdoor Fun & Sports,100001719
,26,Pools & Water Fun,200389159
,26,Pretend Play,100001716
,26,Games and Puzzles,200001726
,26,Remote Control Toys,200001385
,26,Stress Relief Toy,200246142
,26,Stuffed Animals & Plush,200001387
Watches,1511,,
,1511,Children's Watches,200362144
,1511,Couple Watches,200362143
,1511,Men's Watches,200362146
,1511,Pocket & Fob Watches,200000126
,1511,Watches Accessories,200000121
,1511,Women's Watches,200362145
,1511,Wristwatches,100002861
Weddings & Events,320,,
,320,Special Occasion Dresses,200000749
,320,Wedding Accessories,100005787
,320,Wedding Dresses,32005
,320,Wedding Party Dress,200000410
Men's Clothing,200000343,,
,200000343,Coats & Jackets,200000795
,200000343,Hoodies & Sweatshirts,200000344
,200000343,Jeans,200000378
,200000343,Men's Sets,200003495
,200000343,Pants,200000380
,200000343,Shirts,348
,200000343,Shorts,200005141
,200000343,Suits & Blazer,200001819
,200000343,Sweaters,200000386
,200000343,Swimwears,200001860
,200000343,Tops & Tees,200000779
Novelty & Special Use,200000532,,
,200000532,Exotic Apparel,200000740
,200000532,Stage & Dance Wear,100005769
,200000532,Work Wear & Uniforms,200000668
,200000532,World Apparel,200000666
,200000532,Costumes & Accessories,200000663
Apparel Accessories,200000297,,
,200000297,Arm Warmers,200000392
,200000297,Belt Buckle,200301150
,200000297,Belts,200000298
,200000297,Collar Stays,200346143
,200000297,Cummerbunds,200000306
,200000297,Earmuffs,200000393
,200000297,Eyewear & Accessories,200000440
,200000297,Gloves & Mittens,200000394
,200000297,Handkerchiefs,200000400
,200000297,Hats & Caps,200000402
,200000297,Headwear,200000395
,200000297,Knee Sleeve,200295143
,200000297,Mask,200295142
,200000297,Pocket Squares,200392144
,200000297,"Scarf, Hat & Glove Sets",33906
,200000297,Scarves & Wraps,200000399
,200000297,Suspenders,3280111
,200000297,Ties & Detachable Collar,200000305
Women's Clothing,200000345,,
,200000345,Blazer & Suits,200001912
,200000345,Blouses & Shirts,200000346
,200000345,Coats & Jackets,200000796
,200000345,Dresses,200000347
,200000345,Hoodies & Sweatshirts,200000348
,200000345,Jeans,200000361
,200000345,"Jumpsuits, Playsuits & Bodysuits",200000362
,200000345,Leggings,200000865
,200000345,Pants & Capris,200000366
,200000345,Shorts,200000367
,200000345,Skirts,349
,200000345,Sweaters,200000373
,200000345,Swimwears,200001918
,200000345,Tops & Tees,200000778
,200000345,Women's Sets,200003494
